Site,Subplot,Core_ID,Phenocam,Community,Snowmelt,DOY,Depth Increment,Depth_Type,Scanned,Overall Wet Weight (g),Volume (cm3(,Depth Wet Weight (g),HALVED Wet Weight,Subsection Wet Weight (g),Wet weight bulk density,Cage Weight (g),Subsection Dried Weight (g),sub_scaled,scaled_dry,Root Dry Biomass Total (g),dry_bulkdensity,rootmass_bulkdensity,Black_branch_biomass,Brown_branch_biomass,Sticky_biomass,Stringy_biomass,Branched_Biomass,Thick_biomass,White_branched_biomass,Seed_biomass,Fine_branched_biomass,Skinny_white_biomass,White_Skinny,Big_Brown,Big_Branched,Sprout,Chunky_white_Branched,Yellow_Branched,Thicker_orangey branched,White_chunky,Chunky orange branched,flat,Flat_branched,thicker_branched,Black_Chunky,light branched,woody_branched
Kluane,4,P3,KP4,Mix,172,225,25-30,Bottom,Y,806.54,192.417,114.53,NA,5.61,0.428652354,32.05,1.16,0.206773619,17.05468806,0.0071,0.088633998,0.080104702,0,0,0,0.0006,0.0065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cairngorms,TR1,P1,CRN_TL,Shrub,101,127,0-5,Top,Y,285.51,192.417,93.26,47.55,5.01,0.449336597,8.64,1.51,0.301397206,14.33143713,0.00001,0.135428795,7.38395E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00001,0,0,0,0,0,0,0,0,0
Cairngorms,TR1,P1,CRN_TL,Shrub,101,127,05-15,Bottom,Y,285.51,384.834,191.14,90.53,5.01,0.424702599,17.62,1.51,0.301397206,27.28548902,0.00002,0.128004177,0.000156245,0,0,0,0.00001,0,0,0,0,0,0,0,0,0,0,0,0.00001,0,0,0,0,0,0,0,0,0
Cairngorms,TR1,P2,CRN_TL,Shrub,101,311,0-5,Top,Y,330.21,192.417,50.69,NA,5.63,0.228670024,6.69,2.24,0.397868561,17.5062167,0.0001,0.090980613,0.001099135,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0
Cairngorms,TR1,P2,CRN_TL,Shrub,101,311,05-15,Middle,Y,330.21,384.834,135.79,NA,5.63,0.315070914,14.54,2.24,0.397868561,48.24156306,0.0429,0.125356811,0.342223127,0,0,0,0,0,0,0.0393,0,0,0,0,0,0,0,0.0036,0,0,0,0,0,0,0,0,0,0
Cairngorms,TR1,P2,CRN_TL,Shrub,101,311,15-25,Bottom,Y,330.21,192.417,110.1,NA,5.63,0.511701149,11.64,2.24,0.397868561,39.17413854,0.0629,0.2035898,0.308954574,0,0,0,0,0,0,0.0582,0,0,0,0,0,0,0,0.0047,0,0,0,0,0,0,0,0,0,0
Cairngorms,TR2,P1,CRN_TL,Shrub,101,127,0-5,Top,Y,177.56,192.417,74.61,36.58,5.52,0.332403062,9.2,2.61,0.472826087,17.29597826,0.00021,0.157168839,0.001336143,0,0,0,0.00001,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cairngorms,TR2,P1,CRN_TL,Shrub,101,127,5-12.5,Bottom,Y,177.56,288.634,102.69,41.57,5.52,0.237636592,14.55,2.61,0.472826087,19.65538043,0,0.11236078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cairngorms,TR2,P2,CRN_TL,Shrub,101,311,0-5,Top,Y,316.28,192.417,72.59,31.55,4.52,0.282303539,8.78,1.79,0.396017699,12.49435841,0.017,0.111797198,0.152061056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0077,0.0093,0,0,0,0,0,0,0,0
Cairngorms,TR2,P2,CRN_TL,Shrub,101,311,05-15,Middle,Y,316.28,384.834,169.1,74.69,4.52,0.352749497,13.63,1.79,0.396017699,29.57856195,0.0694,0.139695044,0.496796436,0,0,0,0,0,0,0.0012,0,0,0,0,0,0,0,0,0.0401,0.0275,0.0006,0,0,0,0,0,0,0
Cairngorms,TR2,P2,CRN_TL,Shrub,101,311,15-25,Bottom,Y,316.28,153.938,75.4,31.57,4.52,0.36794034,6.5,1.79,0.396017699,12.50227876,0.0438,0.145710887,0.300595247,0,0,0,0,0,0,0.0008,0,0,0,0,0,0,0,0,0.0259,0.0171,0,0,0,0,0,0,0,0
Cairngorms,INT1,P1,CRN_SN,Shrub,100,127,0-5,Top,Y,139.56,192.417,69.79,34.51,4.51,0.306677684,10.01,2.1,0.465631929,16.06895787,0,0.142798922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cairngorms,INT1,P1,CRN_SN,Shrub,100,127,05-15,Bottom,Y,139.56,153.938,67.18,31.42,4.51,0.357676467,7.78,2.1,0.465631929,14.63015521,0.00031,0.166545583,0.001861352,0,0,0,0.00001,0,0,0,0,0,0,0,0,0,0,0,0.0003,0,0,0,0,0,0,0,0,0
Cairngorms,INT1,P2,CRN_SN,Shrub,100,311,0-5,Top,Y,287.53,192.417,80.59,36.5,4.67,0.334845674,8.57,1.61,0.344753747,12.58351178,0.0008,0.115439301,0.006930049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.0007,0,0,0,0,0,0,0,0
Cairngorms,INT1,P2,CRN_SN,Shrub,100,311,05-15,Bottom,Y,287.53,384.834,205.63,86.22,4.67,0.397002344,19.66,1.61,0.344753747,29.72466809,0.0481,0.136868046,0.35143338,0,0,0,0,0,0,0,0,0,0.0003,0,0,0,0,0,0.0332,0.0146,0,0,0,0,0,0,0,0
Cairngorms,INT2,P2,CRN_SN,Shrub,100,311,0-5,Top,Y,221.58,192.417,71.35,34.5,2.52,0.324971286,6.47,1.05,0.416666667,14.375,0.006,0.135404703,0.044311607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0
Cairngorms,INT2,P2,CRN_SN,Shrub,100,311,05-15,Bottom,Y,221.58,423.32961,149.53,67.15,2.52,0.28127019,15.23,1.05,0.416666667,27.97916667,0.0524,0.117195913,0.44711457,0,0,0,0,0,0,0.0012,0,0,0,0,0,0,0,0,0.0234,0.0278,0,0,0,0,0,0,0,0
Cairngorms,SUM1,P1,CRN_Snowcam,Mix,100,127,0-5,Top,Y,699.14,192.417,102.57,49.12,11.53,0.457236107,10.26,3.2,0.27753686,13.63261058,0,0.126899874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cairngorms,SUM1,P1,CRN_Snowcam,Mix,100,127,05-15,Bottom,Y,699.14,384.834,257.49,99.72,11.53,0.46038032,22.27,3.2,0.27753686,27.67597572,0.00001,0.127772509,7.82641E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00001,0,0,0,0,0,0,0,0,0
Cairngorms,SUM1,P2,CRN_Snowcam,Mix,100,311,0-5,Top,Y,707.56,192.417,86.53,29.3,5.15,0.243741457,11.7,1.57,0.304854369,8.93223301,0.0007,0.074305648,0.009420549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007,0,0,0,0,0,0,0,0,0
Cairngorms,SUM1,P2,CRN_Snowcam,Mix,100,311,05-15,Bottom,Y,707.56,384.834,270.25,121.04,5.15,0.568868655,23.16,1.57,0.304854369,36.89957282,0.027,0.173422095,0.155689504,0,0,0,0.0015,0.0001,0,0,0,0,0,0,0,0,0,0,0.0247,0.0007,0,0,0,0,0,0,0,0
Cairngorms,SUM1,P2,CRN_Snowcam,Mix,100,311,15-25,Bottom,Y,707.56,192.417,348.29,125.67,5.15,1.190331416,22.3,1.57,0.304854369,38.31104854,0.0496,0.362877733,0.136685157,0,0,0,0.0128,0.0009,0,0,0,0,0,0,0,0,0.0001,0.016,0.0137,0.0061,0,0,0,0,0,0,0,0
Cairngorms,SUM2,P1,CRN_Snowcam,Mix,100,127,0-5,Top,Y,194.43,192.417,108.46,45.13,5.7,0.419297671,9.58,2.13,0.373684211,16.86436842,0.00151,0.156684919,0.009637175,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.00001,0,0,0.0015,0,0,0,0,0,0
Cairngorms,SUM2,P1,CRN_Snowcam,Mix,100,127,05-10,Bottom,Y,194.43,169.331,88.77,37.42,5.7,0.387525025,9.22,2.13,0.373684211,13.98326316,0.0034,0.144811983,0.02347872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018,0,0,0.0016,0,0,0,0,0,0
Cairngorms,SUM2,P2,CRN_Snowcam,Mix,100,311,0-5,Top,Y,230.12,192.417,149.56,61.42,13.29,0.582900679,10.68,3.69,0.27765237,17.05340858,0.01211,0.161843755,0.074825253,0,0,0,0,0,0,0,0,0,0.0006,0.0001,0,0,0.00001,,0.0055,0.0059,0,0,0,0,0,0,0,0
Cairngorms,SUM2,P2,CRN_Snowcam,Mix,100,311,05-10,Bottom,Y,230.12,423.32961,79.77,28.65,13.29,0.113741158,9.15,3.69,0.27765237,7.954740406,0.00801,0.031580502,0.253637513,0,0,0,0,0,0,0,0,0,0.0063,0.0004,0,0,0,0,0.00001,0.0013,0,0,0,0,0,0,0,0
Toolik,TFS1,P1,TL-01,Mix,101,167,0-5,Top,Y,212.76,192.417,80.25,NA,5.01,0.382866379,6.58,0.76,0.151696607,11.17548902,0.0039,0.058079531,0.067149303,0,0,0,0,0.0029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0
Toolik,TFS1,P1,TL-01,Mix,101,167,05-10,Bottom,Y,212.76,192.417,131.69,NA,5.01,0.608418175,14.62,0.76,0.151696607,17.75912176,0.0009,0.092294973,0.009751344,0,0,0,0,0.0009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toolik,TFS1,P2,TL-01,Mix,101,211,0-5,Top,Y,399.7,192.417,136.53,NA,6.67,0.667144795,8.16,0.65,0.097451274,12.50982009,0.00001,0.06501411,0.000153813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00001,0,0,0,0,0,0,0
Toolik,TFS1,P2,TL-01,Mix,101,211,05-15,Bottom,Y,399.7,404.08736,271.34,NA,6.67,0.620286663,20.69,0.65,0.097451274,24.42616192,0.07772,0.060447726,1.285739025,0,0,0.0078,0,0.00001,0,0,0,0,0,0,0,0,0,0,0.00001,0,0.0285,0,0.0064,0.035,0,0,0,0
Toolik,TFS1,P3,TL-01,Mix,101,246,0-5,Top,Y,897.16,192.417,170.6,NA,8.67,0.801228582,16.43,1.24,0.143021915,22.04968858,0.0741,0.114593246,0.646634969,0,0,0,0,0,0,0,0,0.0035,0,0,0,0,0,0,0,0,0,0,0,0.0556,0.015,0,0,0
Toolik,TFS1,P3,TL-01,Mix,101,246,05-15,Middle,Y,897.16,384.834,266.67,NA,8.67,0.654645899,14.74,1.24,0.143021915,36.03151096,0.0293,0.09362871,0.3129382,0,0,0,0,0.0069,0,0,0,0,0,0,0,0,0,0.0018,0.0017,0,0.0084,0,0,0,0.0105,0,0,0
Toolik,TFS1,P3,TL-01,Mix,101,246,15-25,Middle2,Y,897.16,384.834,335.49,NA,8.67,0.817105557,21.04,1.24,0.143021915,44.97324106,0.0918,0.116864001,0.785528469,0,0,0,0,0.0005,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0.0278,0,0.0035,0,0,0
Toolik,TFS1,P3,TL-01,Mix,101,246,25-30,Bottom,Y,897.16,61.57522,121.62,NA,8.67,1.430445559,33.54,1.24,0.143021915,12.59737024,0.0119,0.204585063,0.058166514,0,0,0,0,0.0005,0,0,0,0,0,0,0,0,0,0.0114,0,0,0,0,0,0,0,0,0,0
Toolik,TFS2,P1,TL-02,Graminoid,162,167,0-5,Top,Y,292.64,192.417,135.51,NA,8.58,0.649370898,10.56,1.57,0.182983683,22.86381119,0.0329,0.118824278,0.276879443,0,0,0,0,0,0,0,0,0,0,0,0.0093,0.0133,0.0103,0,0,0,0,0,0,0,0,0,0,0
Toolik,TFS2,P1,TL-02,Graminoid,162,167,05-10,Bottom,Y,292.64,192.417,156.7,NA,8.58,0.754403197,11.54,1.57,0.182983683,26.56191142,0.0072,0.138043475,0.052157481,0,0,0,0,0.0041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0031,0,0,0,0,0
Toolik,TFS2,P2,TL-02,Graminoid,162,211,0-5,Top,Y,588.26,192.417,149.14,NA,5.18,0.725143828,9.61,0.75,0.144787645,20.20222008,0.00961,0.104991867,0.091530899,0,0,0,0,0.00001,0,0,0,0,0,0,0,0,0,0.0017,0,0,0.0079,0,0,0,0,0,0,0
Toolik,TFS2,P2,TL-02,Graminoid,162,211,05-15,Middle,Y,588.26,384.834,285.18,NA,5.18,0.70552498,13.67,0.75,0.144787645,39.31129344,0.0383,0.1021513,0.374934043,0,0,0,0,0.0007,0,0,0,0,0,0,0,0,0,0,0,0,0.0376,0,0,0,0,0,0,0
Toolik,TFS2,P2,TL-02,Graminoid,162,211,15-20,Bottom,Y,588.26,192.417,151.49,NA,5.18,0.706954167,15.46,0.75,0.144787645,19.69546332,0.0559,0.102358229,0.546121212,0,0,0,0,0.0073,0,0,0,0,0,0,0,0,0,0,0,0,0.0254,0,0,0.004,0,0.0192,0,0
Toolik,TFS2,P3,TL-02,Graminoid,162,246,0-5,Top,Y,861.08,192.417,191.69,NA,5.54,0.924762365,13.75,0.61,0.110108303,19.59267148,0.00001,0.101824015,9.82E-05,0,0,0,0,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
