PLOT,Yr,Site,LTER,Observer,NOTES,plants_first_vis,90_snowfree,100_snowfree,bud_burst,100_yellow,growing_ssn_length
imcrkfen,2016,Imnavait,Y,Elise Gallois,,132,149,150,152,256,104
imcrkfen,2017,Imnavait,Y,Elise Gallois,,138,154,157,164,256,92
imcrkfen,2018,Imnavait,Y,Elise Gallois,ends in june,150,168,NA,NA,NA,NA
healy1,2016,healy_ak,Y,Elise Gallois,,NA,NA,NA,134,263,129
healy1,2017,healy_ak,Y,Elise Gallois,,96,NA,145,142,250,108
healy1,2018,healy_ak,Y,Elise Gallois,,128,138,139,147,271,124
healy1,2019,healy_ak,Y,Elise Gallois,,70,113,115,137,266,129
healy1,2020,healy_ak,Y,Elise Gallois,,109,132,134,136,264,128
healy1,2021,healy_ak,Y,Elise Gallois,,117,138,140,144,266,122
healy1,2022,healy_ak,Y,Elise Gallois,,140,151,154,150,263,113
coville,2011,lakecolville,Y,Elise Gallois,,108,123,125,159,278,119
coville,2012,lakecolville,Y,Elise Gallois,,112,137,139,157,282,125
coville,2013,lakecolville,Y,Elise Gallois,,93,120,140,148,276,128
coville,2014,lakecolville,Y,Elise Gallois,,NA,90,98,133,276,143
coville,2015,lakecolville,Y,Elise Gallois,,NA,123,125,142,304,162
coville,2016,lakecolville,Y,Elise Gallois,end of season snow returns before last leaf turns yellow :(,NA,90,93,108,NA,NA
coville,2017,lakecolville,Y,Elise Gallois,end of season snow returns before last leaf turns yellow :(,96,110,112,118,NA,NA
coville,2018,lakecolville,Y,Elise Gallois,,NA,127,128,120,321,201
coville,2019,lakecolville,Y,Elise Gallois,,81,89,90,132,296,164
contactcreek,2012,contactcreek,Y,Elise Gallois,,57,112,117,119,298,179
contactcreek,2013,contactcreek,Y,Elise Gallois,,110,141,144,136,314,178
contactcreek,2014,contactcreek,Y,Elise Gallois,,86,114,119,119,307,188
contactcreek,2015,contactcreek,Y,Elise Gallois,all images black,NA,NA,NA,NA,NA,NA
contactcreek,2016,contactcreek,Y,Elise Gallois,all images black,NA,NA,NA,NA,NA,NA
contactcreek,2017,contactcreek,Y,Elise Gallois,no images past august,75,112,113,102,NA,NA
contactcreek,2018,contactcreek,Y,Elise Gallois,no images before aug,NA,NA,NA,NA,328,NA
contactcreek,2019,contactcreek,Y,Elise Gallois,,NA,113,117,93,293,200
contactcreek,2020,contactcreek,Y,Elise Gallois,,NA,107,110,107,300,193
contactcreek,2021,contactcreek,Y,Elise Gallois,only goes to july,61,120,122,118,NA,NA
